"ID","Name","Species","GeneID","Family","Evidence"
"T025941_1.02","Jdp2","Mus_musculus","ENSMUSG00000034271","bZIP","D"
"T025967_1.02","Jun","Mus_musculus","ENSMUSG00000052684","bZIP","D"
"T025968_1.02","Junb","Mus_musculus","ENSMUSG00000052837","bZIP","D"
"T025981_1.02","Jund","Mus_musculus","ENSMUSG00000071076","bZIP","D"
"T025983_1.02","Mafb","Mus_musculus","ENSMUSG00000074622","bZIP","D"
"T025954_1.02","Maff","Mus_musculus","ENSMUSG00000042622","bZIP","D"
"T025964_1.02","Mafg","Mus_musculus","ENSMUSG00000051510","bZIP","D"
"T025913_1.02","Mafk","Mus_musculus","ENSMUSG00000018143","bZIP","D"
"T025911_1.02","Nfe2l2","Mus_musculus","ENSMUSG00000015839","bZIP","D"
"T025936_1.02","Nfe2l3","Mus_musculus","ENSMUSG00000029832","bZIP","D"
"T025973_1.02","Nfil3","Mus_musculus","ENSMUSG00000056749","bZIP","D"
"T028087_1.02","Nfil3","Mus_musculus","XP_002726925.1","bZIP","D"
"T025918_1.02","Tef","Mus_musculus","ENSMUSG00000022389","bZIP","D"
"T025915_1.02","Xbp1","Mus_musculus","ENSMUSG00000020484","bZIP","D"
"T049084_1.02","Bcl6","Mus_musculus","ENSMUSG00000022508","C2H2 ZF","D"
"T049021_1.02","Bcl6b","Mus_musculus","ENSMUSG00000000317","C2H2 ZF","D"
"T049106_1.02","Bnc1","Mus_musculus","ENSMUSG00000025105","C2H2 ZF","D"
"T049038_1.02","Ctcf","Mus_musculus","ENSMUSG00000005698","C2H2 ZF","D"
"T049238_1.02","Dnajc21","Mus_musculus","ENSMUSG00000044224","C2H2 ZF","D"
"T049096_1.02","E4f1","Mus_musculus","ENSMUSG00000024137","C2H2 ZF","D"
"T049199_1.02","Egr1","Mus_musculus","ENSMUSG00000038418","C2H2 ZF","D"
"T049196_1.02","Egr2","Mus_musculus","ENSMUSG00000037868","C2H2 ZF","D"
"T049165_1.02","Egr3","Mus_musculus","ENSMUSG00000033730","C2H2 ZF","D"
"T049116_1.02","Gfi1b","Mus_musculus","ENSMUSG00000026815","C2H2 ZF","D"
"T049074_1.02","Gli3","Mus_musculus","ENSMUSG00000021318","C2H2 ZF","D"
"T049051_1.02","Glis2","Mus_musculus","ENSMUSG00000014303","C2H2 ZF","D"
"T049054_1.02","Gtf3a","Mus_musculus","ENSMUSG00000016503","C2H2 ZF","D"
"T049232_1.02","Hic1","Mus_musculus","ENSMUSG00000043099","C2H2 ZF","D"
"T049212_1.02","Ikzf5","Mus_musculus","ENSMUSG00000040167","C2H2 ZF","D"
"T049348_1.02","Klf1","Mus_musculus","ENSMUSG00000054191","C2H2 ZF","D"
"T049527_1.02","Klf12","Mus_musculus","ENSMUSG00000072294","C2H2 ZF","D"
"T049178_1.02","Klf16","Mus_musculus","ENSMUSG00000035397","C2H2 ZF","D"
"T049030_1.02","Klf4","Mus_musculus","ENSMUSG00000003032","C2H2 ZF","D"
"T049112_1.02","Klf7","Mus_musculus","ENSMUSG00000025959","C2H2 ZF","D"
"T049219_1.02","Klf8","Mus_musculus","ENSMUSG00000041649","C2H2 ZF","D"
"T049166_1.02","Klf9","Mus_musculus","ENSMUSG00000033863","C2H2 ZF","D"
"T049123_1.02","Mecom","Mus_musculus","ENSMUSG00000027684","C2H2 ZF","D"
"T049130_1.02","Mtf1","Mus_musculus","ENSMUSG00000028890","C2H2 ZF","D"
"T049143_1.02","Mzf1","Mus_musculus","ENSMUSG00000030380","C2H2 ZF","D"
"T049287_1.02","Osr1","Mus_musculus","ENSMUSG00000048387","C2H2 ZF","D"
"T049082_1.02","Osr2","Mus_musculus","ENSMUSG00000022330","C2H2 ZF","D"
"T049063_1.02","Plagl1","Mus_musculus","ENSMUSG00000019817","C2H2 ZF","D"
"T049330_1.02","Plagl2","Mus_musculus","ENSMUSG00000051413","C2H2 ZF","D"
"T049157_1.02","Sall1","Mus_musculus","ENSMUSG00000031665","C2H2 ZF","D"
"T049119_1.02","Sall4","Mus_musculus","ENSMUSG00000027547","C2H2 ZF","D"
"T049229_1.02","Snai1","Mus_musculus","ENSMUSG00000042821","C2H2 ZF","D"
"T049025_1.02","Sp1","Mus_musculus","ENSMUSG00000001280","C2H2 ZF","D"
"T049107_1.02","Sp4","Mus_musculus","ENSMUSG00000025323","C2H2 ZF","D"
"T049053_1.02","Wt1","Mus_musculus","ENSMUSG00000016458","C2H2 ZF","D"
"T061569_1.02","ZBED6_MOUSE","Mus_musculus","ZBED6_MOUSE","C2H2 ZF","D"
"T049163_1.02","Zbtb1","Mus_musculus","ENSMUSG00000033454","C2H2 ZF","D"
"T049310_1.02","Zbtb12","Mus_musculus","ENSMUSG00000049823","C2H2 ZF","D"
"T049526_1.02","Zbtb3","Mus_musculus","ENSMUSG00000071661","C2H2 ZF","D"
"T049124_1.02","Zbtb7b","Mus_musculus","ENSMUSG00000028042","C2H2 ZF","D"
"T049371_1.02","Zfp1","Mus_musculus","ENSMUSG00000055835","C2H2 ZF","D"
"T049393_1.02","Zfp105","Mus_musculus","ENSMUSG00000057895","C2H2 ZF","D"
"T049425_1.02","Zfp128","Mus_musculus","ENSMUSG00000060397","C2H2 ZF","D"
"T049306_1.02","Zfp161","Mus_musculus","ENSMUSG00000049672","C2H2 ZF","D"
"T049355_1.02","Zfp182","Mus_musculus","ENSMUSG00000054737","C2H2 ZF","D"
"T049080_1.02","Zfp187","Mus_musculus","ENSMUSG00000022228","C2H2 ZF","D"
"T049110_1.02","Zfp202","Mus_musculus","ENSMUSG00000025602","C2H2 ZF","D"
"T049086_1.02","Zfp263","Mus_musculus","ENSMUSG00000022529","C2H2 ZF","D"
"T061402_1.02","Zfp263","Mus_musculus","Q8K439_MOUSE","C2H2 ZF","D"
"T049218_1.02","Zfp281","Mus_musculus","ENSMUSG00000041483","C2H2 ZF","D"
"T049236_1.02","Zfp3","Mus_musculus","ENSMUSG00000043602","C2H2 ZF","D"
"T049154_1.02","Zfp300","Mus_musculus","ENSMUSG00000031079","C2H2 ZF","D"
"T049227_1.02","Zfp410","Mus_musculus","ENSMUSG00000042472","C2H2 ZF","D"
"T049325_1.02","Zfp42","Mus_musculus","ENSMUSG00000051176","C2H2 ZF","D"
"T049491_1.02","Zfp467","Mus_musculus","ENSMUSG00000068551","C2H2 ZF","D"
"T049413_1.02","Zfp637","Mus_musculus","ENSMUSG00000059689","C2H2 ZF","D"
"T049570_1.02","Zfp652","Mus_musculus","ENSMUSG00000075595","C2H2 ZF","D"
"T049628_1.02","Zfp664","Mus_musculus","ENSMUSG00000079215","C2H2 ZF","D"
"T049251_1.02","Zfp691","Mus_musculus","ENSMUSG00000045268","C2H2 ZF","D"
"T049312_1.02","Zfp697","Mus_musculus","ENSMUSG00000050064","C2H2 ZF","D"
"T049109_1.02","Zfp711","Mus_musculus","ENSMUSG00000025529","C2H2 ZF","D"
"T049269_1.02","Zfp740","Mus_musculus","ENSMUSG00000046897","C2H2 ZF","D"
"T049631_1.02","Zfx","Mus_musculus","ENSMUSG00000079509","C2H2 ZF","D"
"T049161_1.02","Zic1","Mus_musculus","ENSMUSG00000032368","C2H2 ZF","D"
"T049433_1.02","Zic2","Mus_musculus","ENSMUSG00000061524","C2H2 ZF","D"
"T049481_1.02","Zic3","Mus_musculus","ENSMUSG00000067860","C2H2 ZF","D"
"T049220_1.02","Zic5","Mus_musculus","ENSMUSG00000041703","C2H2 ZF","D"
"T049138_1.02","Zkscan1","Mus_musculus","ENSMUSG00000029729","C2H2 ZF","D"
"T049373_1.02","Zkscan5","Mus_musculus","ENSMUSG00000055991","C2H2 ZF","D"
"T049094_1.02","Zscan10","Mus_musculus","ENSMUSG00000023902","C2H2 ZF","D"
"T049436_1.02","Zscan20","Mus_musculus","ENSMUSG00000061894","C2H2 ZF","D"
"T038611_1.02","Zscan4","Mus_musculus","EDL38120.1","C2H2 ZF","D"
"T049349_1.02","Zscan4c","Mus_musculus","ENSMUSG00000054272","C2H2 ZF","D"
"T032309_1.02","Trerf1","Mus_musculus","ENSMUSG00000064043","C2H2 ZF,Myb/SANT","D"
"T074602_1.02","Mbd1","Mus_musculus","ENSMUSG00000024561","CxxC","D"
"T075179_1.02","Dmrta2","Mus_musculus","ENSMUSG00000047143","DM","D"
"T075174_1.02","Dmrtc2","Mus_musculus","ENSMUSG00000011349","DM","D"
"T076762_1.02","E2f2","Mus_musculus","ENSMUSG00000018983","E2F","D"
"T076761_1.02","E2f3","Mus_musculus","ENSMUSG00000016477","E2F","D"
"T078274_1.02","Ehf","Mus_musculus","ENSMUSG00000012350","Ets","D"
"T078286_1.02","Elf2","Mus_musculus","ENSMUSG00000037174","Ets","D"
"T078265_1.02","Elf3","Mus_musculus","ENSMUSG00000003051","Ets","D"
"T078283_1.02","Elf4","Mus_musculus","ENSMUSG00000031103","Ets","D"
"T078281_1.02","Elf5","Mus_musculus","ENSMUSG00000027186","Ets","D"
"T078273_1.02","Elk1","Mus_musculus","ENSMUSG00000009406","Ets","D"
"T078271_1.02","Elk3","Mus_musculus","ENSMUSG00000008398","Ets","D"
"T078280_1.02","Elk4","Mus_musculus","ENSMUSG00000026436","Ets","D"
"T078287_1.02","Erg","Mus_musculus","ENSMUSG00000040732","Ets","D"
"T078284_1.02","Ets1","Mus_musculus","ENSMUSG00000032035","Ets","D"
"T078267_1.02","Etv1","Mus_musculus","ENSMUSG00000004151","Ets","D"
"T078266_1.02","Etv3","Mus_musculus","ENSMUSG00000003382","Ets","D"
"T078277_1.02","Etv4","Mus_musculus","ENSMUSG00000017724","Ets","D"
"T078275_1.02","Etv5","Mus_musculus","ENSMUSG00000013089","Ets","D"
"T078282_1.02","Etv6","Mus_musculus","ENSMUSG00000030199","Ets","D"
"T078276_1.02","Fli1","Mus_musculus","ENSMUSG00000016087","Ets","D"
"T078272_1.02","Gabpa","Mus_musculus","ENSMUSG00000008976","Ets","D"
"T078939_1.02","Gm4881","Mus_musculus","XP_911724.4","Ets","D"
"T078290_1.02","Gm5454","Mus_musculus","ENSMUSG00000047643","Ets","D"
"T078264_1.02","Sfpi1","Mus_musculus","ENSMUSG00000002111","Ets","D"
"T078279_1.02","Spdef","Mus_musculus","ENSMUSG00000024215","Ets","D"
"T078268_1.02","Spic","Mus_musculus","ENSMUSG00000004359","Ets","D"
"T081983_1.02","Foxa2","Mus_musculus","ENSMUSG00000037025","Forkhead","D"
"T082006_1.02","Foxb1","Mus_musculus","ENSMUSG00000059246","Forkhead","D"
"T081998_1.02","Foxc1","Mus_musculus","ENSMUSG00000050295","Forkhead","D"
"T081994_1.02","Foxc2","Mus_musculus","ENSMUSG00000046714","Forkhead","D"
"T082012_1.02","Foxd1","Mus_musculus","ENSMUSG00000078302","Forkhead","D"
"T081973_1.02","Foxg1","Mus_musculus","ENSMUSG00000020950","Forkhead","D"
"T081980_1.02","Foxj1","Mus_musculus","ENSMUSG00000034227","Forkhead","D"
"T081972_1.02","Foxj2","Mus_musculus","ENSMUSG00000003154","Forkhead","D"
"T081977_1.02","Foxj3","Mus_musculus","ENSMUSG00000032998","Forkhead","D"
"T082004_1.02","Foxk1","Mus_musculus","ENSMUSG00000056493","Forkhead","D"
"T082901_1.02","Foxl1","Mus_musculus","NP_032050.2","Forkhead","D"
"T081970_1.02","Foxm1","Mus_musculus","ENSMUSG00000001517","Forkhead","D"
"T081971_1.02","Foxn1","Mus_musculus","ENSMUSG00000002057","Forkhead","D"
"T081989_1.02","Foxn4","Mus_musculus","ENSMUSG00000042002","Forkhead","D"
"T081992_1.02","Foxo1","Mus_musculus","ENSMUSG00000044167","Forkhead","D"
"T081997_1.02","Foxo3","Mus_musculus","ENSMUSG00000048756","Forkhead","D"
"T081991_1.02","Foxo4","Mus_musculus","ENSMUSG00000042903","Forkhead","D"
"T082001_1.02","Foxo6","Mus_musculus","ENSMUSG00000052135","Forkhead","D"
"T081976_1.02","Foxp1","Mus_musculus","ENSMUSG00000030067","Forkhead","D"
"T081975_1.02","Foxp2","Mus_musculus","ENSMUSG00000029563","Forkhead","D"
"T082900_1.02","Gm5294","Mus_musculus","NP_001182057.1","Forkhead","D"
"T084795_1.02","Gata1","Mus_musculus","ENSMUSG00000031162","GATA","D"
"T084792_1.02","Gata3","Mus_musculus","ENSMUSG00000015619","GATA","D"
"T084794_1.02","Gata4","Mus_musculus","ENSMUSG00000021944","GATA","D"
"T084793_1.02","Gata5","Mus_musculus","ENSMUSG00000015627","GATA","D"
"T084789_1.02","Gata6","Mus_musculus","ENSMUSG00000005836","GATA","D"
"T086766_1.02","Gcm1","Mus_musculus","ENSMUSG00000023333","GCM","D"
"T087358_1.02","Tcfcp2l1","Mus_musculus","ENSMUSG00000026380","Grainyhead","D"
"T095288_1.02","AC189028.1","Mus_musculus","ENSMUSG00000074368","Homeodomain","D"
"T095189_1.02","Alx1","Mus_musculus","ENSMUSG00000036602","Homeodomain","D"
"T095096_1.02","Alx3","Mus_musculus","ENSMUSG00000014603","Homeodomain","D"
"T095205_1.02","Alx4","Mus_musculus","ENSMUSG00000040310","Homeodomain","D"
"T095183_1.02","Arx","Mus_musculus","ENSMUSG00000035277","Homeodomain","D"
"T095138_1.02","Barhl1","Mus_musculus","ENSMUSG00000026805","Homeodomain","D"
"T095175_1.02","Barhl2","Mus_musculus","ENSMUSG00000034384","Homeodomain","D"
"T095110_1.02","Barx1","Mus_musculus","ENSMUSG00000021381","Homeodomain","D"
"T095171_1.02","Barx2","Mus_musculus","ENSMUSG00000032033","Homeodomain","D"
"T095252_1.02","Bsx","Mus_musculus","ENSMUSG00000054360","Homeodomain","D"
"T095128_1.02","Cdx1","Mus_musculus","ENSMUSG00000024619","Homeodomain","D"
"T095155_1.02","Cdx2","Mus_musculus","ENSMUSG00000029646","Homeodomain","D"
"T095285_1.02","Cphx","Mus_musculus","ENSMUSG00000072678","Homeodomain","D"
"T095213_1.02","Crx","Mus_musculus","ENSMUSG00000041578","Homeodomain","D"
"T095156_1.02","Cux1","Mus_musculus","ENSMUSG00000029705","Homeodomain","D"
"T095162_1.02","Dbx1","Mus_musculus","ENSMUSG00000030507","Homeodomain","D"
"T095229_1.02","Dbx2","Mus_musculus","ENSMUSG00000045608","Homeodomain","D"
"T095216_1.02","Dlx1","Mus_musculus","ENSMUSG00000041911","Homeodomain","D"
"T095123_1.02","Dlx2","Mus_musculus","ENSMUSG00000023391","Homeodomain","D"
"T095077_1.02","Dlx3","Mus_musculus","ENSMUSG00000001510","Homeodomain","D"
"T095105_1.02","Dlx4","Mus_musculus","ENSMUSG00000020871","Homeodomain","D"
"T095160_1.02","Dlx5","Mus_musculus","ENSMUSG00000029755","Homeodomain","D"
"T095148_1.02","Dmbx1","Mus_musculus","ENSMUSG00000028707","Homeodomain","D"
"T100199_1.02","Dobox4","Mus_musculus","XP_003689450.1","Homeodomain","D"
"T090011_1.02","Dux","Mus_musculus","A1JVI6_MOUSE","Homeodomain","D"
"T095232_1.02","Duxbl","Mus_musculus","ENSMUSG00000048502","Homeodomain","D"
"T095223_1.02","Emx2","Mus_musculus","ENSMUSG00000043969","Homeodomain","D"
"T095257_1.02","En1","Mus_musculus","ENSMUSG00000058665","Homeodomain","D"
"T095201_1.02","En2","Mus_musculus","ENSMUSG00000039095","Homeodomain","D"
"T095124_1.02","Esx1","Mus_musculus","ENSMUSG00000023443","Homeodomain","D"
"T095086_1.02","Evx1","Mus_musculus","ENSMUSG00000005503","Homeodomain","D"
"T095083_1.02","Evx2","Mus_musculus","ENSMUSG00000001815","Homeodomain","D"
"T095271_1.02","Gbx1","Mus_musculus","ENSMUSG00000067724","Homeodomain","D"
"T095177_1.02","Gbx2","Mus_musculus","ENSMUSG00000034486","Homeodomain","D"
"T095226_1.02","Gm4830","Mus_musculus","ENSMUSG00000044538","Homeodomain","D"
"T095107_1.02","Gsc","Mus_musculus","ENSMUSG00000021095","Homeodomain","D"
"T095186_1.02","Gsx2","Mus_musculus","ENSMUSG00000035946","Homeodomain","D"
"T095178_1.02","Hdx","Mus_musculus","ENSMUSG00000034551","Homeodomain","D"
"T095202_1.02","Hlx","Mus_musculus","ENSMUSG00000039377","Homeodomain","D"
"T095116_1.02","Hmbox1","Mus_musculus","ENSMUSG00000021972","Homeodomain","D"
"T095270_1.02","Hmx1","Mus_musculus","ENSMUSG00000067438","Homeodomain","D"
"T095237_1.02","Hmx2","Mus_musculus","ENSMUSG00000050100","Homeodomain","D"
"T095204_1.02","Hmx3","Mus_musculus","ENSMUSG00000040148","Homeodomain","D"
"T095152_1.02","Hnf1a","Mus_musculus","ENSMUSG00000029556","Homeodomain","D"
"T095104_1.02","Hnf1b","Mus_musculus","ENSMUSG00000020679","Homeodomain","D"
"T095256_1.02","Homez","Mus_musculus","ENSMUSG00000057156","Homeodomain","D"
"T095161_1.02","Hoxa1","Mus_musculus","ENSMUSG00000029844","Homeodomain","D"
"T095071_1.02","Hoxa10","Mus_musculus","ENSMUSG00000000938","Homeodomain","D"
"T095191_1.02","Hoxa11","Mus_musculus","ENSMUSG00000038210","Homeodomain","D"
"T095190_1.02","Hoxa13","Mus_musculus","ENSMUSG00000038203","Homeodomain","D"
"T095097_1.02","Hoxa2","Mus_musculus","ENSMUSG00000014704","Homeodomain","D"
"T095300_1.02","Hoxa3","Mus_musculus","ENSMUSG00000079560","Homeodomain","D"
"T095072_1.02","Hoxa4","Mus_musculus","ENSMUSG00000000942","Homeodomain","D"
"T095194_1.02","Hoxa5","Mus_musculus","ENSMUSG00000038253","Homeodomain","D"
"T095221_1.02","Hoxa6","Mus_musculus","ENSMUSG00000043219","Homeodomain","D"
"T095193_1.02","Hoxa7","Mus_musculus","ENSMUSG00000038236","Homeodomain","D"
"T095192_1.02","Hoxa9","Mus_musculus","ENSMUSG00000038227","Homeodomain","D"
"T095235_1.02","Hoxb13","Mus_musculus","ENSMUSG00000049604","Homeodomain","D"
"T095234_1.02","Hoxb3","Mus_musculus","ENSMUSG00000048763","Homeodomain","D"
"T095195_1.02","Hoxb4","Mus_musculus","ENSMUSG00000038692","Homeodomain","D"
"T095196_1.02","Hoxb5","Mus_musculus","ENSMUSG00000038700","Homeodomain","D"
"T095070_1.02","Hoxb6","Mus_musculus","ENSMUSG00000000690","Homeodomain","D"
"T095198_1.02","Hoxb7","Mus_musculus","ENSMUSG00000038721","Homeodomain","D"
"T095254_1.02","Hoxb8","Mus_musculus","ENSMUSG00000056648","Homeodomain","D"
"T095119_1.02","Hoxc10","Mus_musculus","ENSMUSG00000022484","Homeodomain","D"
"T095080_1.02","Hoxc11","Mus_musculus","ENSMUSG00000001656","Homeodomain","D"
"T095239_1.02","Hoxc12","Mus_musculus","ENSMUSG00000050328","Homeodomain","D"
"T095079_1.02","Hoxc13","Mus_musculus","ENSMUSG00000001655","Homeodomain","D"
"T095293_1.02","Hoxc4","Mus_musculus","ENSMUSG00000075394","Homeodomain","D"
"T095120_1.02","Hoxc5","Mus_musculus","ENSMUSG00000022485","Homeodomain","D"
"T095082_1.02","Hoxc6","Mus_musculus","ENSMUSG00000001661","Homeodomain","D"
"T095081_1.02","Hoxc8","Mus_musculus","ENSMUSG00000001657","Homeodomain","D"
"T095187_1.02","Hoxc9","Mus_musculus","ENSMUSG00000036139","Homeodomain","D"
"T095218_1.02","Hoxd1","Mus_musculus","ENSMUSG00000042448","Homeodomain","D"
"T095240_1.02","Hoxd10","Mus_musculus","ENSMUSG00000050368","Homeodomain","D"
"T095220_1.02","Hoxd11","Mus_musculus","ENSMUSG00000042499","Homeodomain","D"
"T095084_1.02","Hoxd13","Mus_musculus","ENSMUSG00000001819","Homeodomain","D"
"T095299_1.02","Hoxd3","Mus_musculus","ENSMUSG00000079277","Homeodomain","D"
"T095142_1.02","Hoxd8","Mus_musculus","ENSMUSG00000027102","Homeodomain","D"
"T095222_1.02","Hoxd9","Mus_musculus","ENSMUSG00000043342","Homeodomain","D"
"T095076_1.02","Irx2","Mus_musculus","ENSMUSG00000001504","Homeodomain","D"
"T095166_1.02","Irx3","Mus_musculus","ENSMUSG00000031734","Homeodomain","D"
"T095113_1.02","Irx4","Mus_musculus","ENSMUSG00000021604","Homeodomain","D"
"T095167_1.02","Irx5","Mus_musculus","ENSMUSG00000031737","Homeodomain","D"
"T095168_1.02","Irx6","Mus_musculus","ENSMUSG00000031738","Homeodomain","D"
"T095172_1.02","Isl2","Mus_musculus","ENSMUSG00000032318","Homeodomain","D"
"T095165_1.02","Isx","Mus_musculus","ENSMUSG00000031621","Homeodomain","D"
"T095181_1.02","Lbx2","Mus_musculus","ENSMUSG00000034968","Homeodomain","D"
"T095100_1.02","Lhx1","Mus_musculus","ENSMUSG00000018698","Homeodomain","D"
"T095069_1.02","Lhx2","Mus_musculus","ENSMUSG00000000247","Homeodomain","D"
